Msecs,Lat,Lon,Heading,Channel,Temp,Pulse,Gain
1568855201722,nan,nan,nan,0,53.692,1.66711,21
1568855201760,nan,nan,nan,1,54.768,1.95835,21
1568855201767,nan,nan,nan,2,51.54,1.83281,21
1568855201854,nan,nan,nan,3,56.92,0,21
1568855203700,47.637509,-122.088642,137.051,0,53.154,0.971601,21
1568855203716,47.637509,-122.088642,137.051,1,54.23,1.25658,21
1568855203763,47.637509,-122.088642,137.051,2,51.54,1.50164,21
1568855204848,47.637497,-122.088624,136.933,3,56.382,0,21
1568855205498,47.637485,-122.088606,135.182,1,54.768,0.174015,21
1568855205721,47.637485,-122.088606,135.182,0,53.692,1.6383,21
1568855205722,47.637485,-122.088606,135.182,1,54.768,1.49651,21
1568855205740,47.637485,-122.088606,135.182,2,51.54,2.38732,21
1568855207712,47.637458,-122.088564,136.959,1,54.768,0.978767,21
1568855207736,47.637458,-122.088564,136.959,0,53.692,1.1159,21
1568855207742,47.637458,-122.088564,136.959,2,52.078,1.7446,21
1568855207862,47.637458,-122.088564,136.959,3,56.92,0,21
1568855209708,47.637421,-122.088510,138.933,0,53.692,2.20677,21
1568855209716,47.637421,-122.088510,138.933,1,55.306,1.65374,21
1568855209739,47.637421,-122.088510,138.933,2,51.54,2.40999,21
1568855210291,47.637396,-122.088476,141.002,3,56.92,0.0100196,21
1568855211709,47.637365,-122.088438,140.382,1,54.23,1.60821,21
1568855211727,47.637365,-122.088438,140.382,0,53.692,2.74384,21
1568855211731,47.637365,-122.088438,140.382,2,51.54,2.30983,21
1568855213307,47.637299,-122.088363,140.217,3,56.382,0,21
1568855213706,47.637299,-122.088363,140.217,0,52.616,3.62054,21
1568855213722,47.637299,-122.088363,140.217,1,54.768,1.51779,21
1568855213764,47.637299,-122.088363,140.217,2,51.54,2.33556,21
1568855215700,47.637225,-122.088272,143.623,1,54.768,2.16226,21
1568855215714,47.637225,-122.088272,143.623,0,53.692,5.18065,21
1568855215741,47.637225,-122.088272,143.623,2,51.002,1.68762,21
1568855216322,47.637181,-122.088224,144.261,3,56.382,0,21
1568855217700,47.637136,-122.088179,147.024,0,53.692,4.54534,21
1568855217723,47.637136,-122.088179,147.024,1,53.692,0.900844,21
1568855217725,47.637136,-122.088179,147.024,2,51.54,1.28912,21
1568855219332,47.637043,-122.088100,153.216,3,56.382,0,21
1568855219711,47.637043,-122.088100,153.216,0,53.692,5.10888,21
1568855219716,47.637043,-122.088100,153.216,1,55.306,4.70048,21
1568855219744,47.637043,-122.088100,153.216,2,52.078,1.35029,21
1568855221702,47.636946,-122.088022,151.162,0,53.154,6.89995,21
1568855221721,47.636946,-122.088022,151.162,1,55.306,3.72405,21
1568855221770,47.636946,-122.088022,151.162,2,51.54,2.38318,21
1568855222349,47.636896,-122.087982,149.509,3,56.92,0,21
1568855223712,47.636844,-122.087940,152.378,0,53.692,6.81824,21
1568855223714,47.636844,-122.087940,152.378,1,54.768,3.10615,21
1568855223728,47.636844,-122.087940,152.378,2,51.54,1.6399,21
1568855225368,47.636731,-122.087859,151.695,3,56.382,0,21
1568855225706,47.636731,-122.087859,151.695,1,54.768,4.42669,21
1568855225721,47.636731,-122.087859,151.695,2,51.54,3.25944,21
1568855225725,47.636731,-122.087859,151.695,0,52.616,6.06317,21
1568855227707,47.636614,-122.087771,151.545,0,52.616,7.24811,21
1568855227727,47.636614,-122.087771,151.545,1,54.768,3.7119,21
1568855227731,47.636614,-122.087771,151.545,2,51.54,4.11204,21
1568855228376,47.636555,-122.087723,150.671,3,56.382,0,21
1568855229701,47.636496,-122.087673,149.732,1,54.768,4.23383,21
1568855229717,47.636496,-122.087673,149.732,0,53.692,8.08318,21
1568855229755,47.636496,-122.087673,149.732,2,51.002,2.23686,21
